Witness ID,Witness Name,Title,Organization,Meeting Name,Date,Time,Acronym,Notice Link,Evidence Link,Minutes Link
99300,Ms. Janet Cooper,", Senior Director",Canadian Pharmacists Association,HESA,"Thursday, April 10, 2014",8:47 a.m. - 10:47 a.m. (EDT),HESA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/41-2/HESA/meeting-22/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/41-2/HESA/meeting-22/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/41-2/HESA/meeting-22/minutes
99300,Ms. Janet Cooper,", Senior Director",Canadian Pharmacists Association,HUMA,"Thursday, April 10, 2014",11:03 a.m. - 1:00 p.m. (EDT),HUMA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/HUMA/meeting-10/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/HUMA/meeting-10/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/HUMA/meeting-10/minutes
99300,Ms. Janet Cooper,", Senior Director",Canadian Pharmacists Association,HUMA,"Thursday, September 21, 2006",11:03 a.m. - 1:00 p.m. (EDT),HUMA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/HUMA/meeting-10/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/HUMA/meeting-10/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/HUMA/meeting-10/minutes
99328,Mr. Fariborz Birjandian,", Member",Canadian Immigrant Settlement Sector Alliance (CISSA),CIMM,"Tuesday, November 21, 2006",9:02 a.m. - 10:53 a.m. (EST),CIMM,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CIMM/meeting-25/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CIMM/meeting-25/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CIMM/meeting-25/minutes
99328,Mr. Fariborz Birjandian,", Member",Canadian Immigrant Settlement Sector Alliance (CISSA),CIMM,"Tuesday, November 21, 2006",9:23 a.m. - 11:00 a.m. (EDT),CIMM,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CIMM/meeting-15/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CIMM/meeting-15/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CIMM/meeting-15/minutes
99328,Mr. Fariborz Birjandian,", Member",Canadian Immigrant Settlement Sector Alliance (CISSA),CIMM,"Tuesday, September 26, 2006",9:23 a.m. - 11:00 a.m. (EDT),CIMM,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CIMM/meeting-15/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CIMM/meeting-15/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CIMM/meeting-15/minutes
99286,Ms. Catherine Cobden,", Vice-President",Forest Products Association of Canada,ENVI,"Thursday, November 5, 2009",11:12 a.m. - 1:00 p.m. (EST),ENVI,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/40-2/ENVI/meeting-36/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/40-2/ENVI/meeting-36/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/40-2/ENVI/meeting-36/minutes
99286,Ms. Catherine Cobden,", Vice-President",Forest Products Association of Canada,ENVI,"Thursday, November 5, 2009",3:32 p.m. - 4:53 p.m. (EST),ENVI,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-32/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-32/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-32/minutes
99286,Ms. Catherine Cobden,", Vice-President",Forest Products Association of Canada,ENVI,"Monday, December 4, 2006",3:32 p.m. - 4:53 p.m. (EST),ENVI,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-32/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-32/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-32/minutes
99320,Mr. Glen Fisher,", Executive Director",Canadian Association of Railway Suppliers,INDU,"Thursday, October 5, 2006",3:28 p.m. - 5:37 p.m. (EDT),INDU,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/INDU/meeting-19/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/INDU/meeting-19/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/INDU/meeting-19/minutes
99320,Mr. Glen Fisher,", Executive Director",Canadian Association of Railway Suppliers,FINA,"Thursday, October 5, 2006",3:41 p.m. - 6:34 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-16/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-16/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-16/minutes
99320,Mr. Glen Fisher,", Executive Director",Canadian Association of Railway Suppliers,FINA,"Tuesday, September 19, 2006",3:41 p.m. - 6:34 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-16/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-16/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-16/minutes
99344,Mr. David Hardy,", President",Fitness Industry Council of Canada,FINA,"Wednesday, October 4, 2006",9:00 a.m. - 11:58 a.m. (MDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-29/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-29/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-29/minutes
99322,Mr. Stephan Reichhold,", Member-at-large",Canadian Immigrant Settlement Sector Alliance (CISSA),CIMM,"Tuesday, September 26, 2006",9:23 a.m. - 11:00 a.m. (EDT),CIMM,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CIMM/meeting-15/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CIMM/meeting-15/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CIMM/meeting-15/minutes
99310,Mr. Aaron Freeman,,PollutionWatch,ENVI,"Tuesday, December 12, 2006",9:03 a.m. - 11:04 a.m. (EST),ENVI,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-37/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-37/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-37/minutes
99310,Mr. Aaron Freeman,,PollutionWatch,ENVI,"Tuesday, December 12, 2006",9:01 a.m. - 10:59 a.m. (EDT),ENVI,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-12/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-12/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-12/minutes
99310,Mr. Aaron Freeman,,PollutionWatch,ENVI,"Thursday, September 21, 2006",9:01 a.m. - 10:59 a.m. (EDT),ENVI,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-12/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-12/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-12/minutes
99288,Mr. Hugh Benevides,", Counsel",PollutionWatch,ENVI,"Tuesday, October 24, 2006",9:05 a.m. - 10:59 a.m. (EDT),ENVI,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-19/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-19/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-19/minutes
99288,Mr. Hugh Benevides,", Counsel",PollutionWatch,ENVI,"Tuesday, October 24, 2006",9:11 a.m. - 11:07 a.m. (EDT),ENVI,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-14/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-14/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ENVI/meeting-14/minutes
