guid,pubDate,mp_profile_url,mp_short_nm,min_title,deadline,merged_description
https://www.ourcommons.ca/PublicationSearch/en/13440946,2024-11-22 13:53:52-04:00,//www.ourcommons.ca/Parliamentarians/en/members/89449,Mr. Anandasangaree,Minister of Crown-Indigenous Relations) ,2024-12-22 13:53:52-04:00,"Report of the British Columbia Treaty Commission for the fiscal year ended March 31, 2024, pursuant to the British Columbia Treaty Commission Act, S.C. 1995, c. 45, sbs. 21(3).  — Sessional Paper No. 8560-441-37-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Indigenous and Northern Affairs)"
https://www.ourcommons.ca/PublicationSearch/en/13428178,2024-11-19 16:32:38-04:00,//www.ourcommons.ca/Parliamentarians/en/members/84665,Ms. Freeland,Deputy Prime Minister and Minister of Finance) ,2024-12-19 16:32:38-04:00,"Report of the Financial Transactions and Reports Analysis Centre of Canada for the fiscal year ended March 31, 2024, pursuant to the Proceeds of Crime (Money Laundering) and Terrorist Financing Act, S.C. 2000, c. 17, sbs. 71(1).  — Sessional Paper No. 8560-441-802-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Finance)"
https://www.ourcommons.ca/PublicationSearch/en/13421262,2024-11-18 13:08:23-04:00,//www.ourcommons.ca/Parliamentarians/en/members/88468,Mr. MacKinnon,Minister of Labour and Seniors) ,2024-12-18 13:08:23-04:00,"Service Fees Report of the Canadian Canadian Centre for Occupational Health and Safety for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1395-01. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Human Resources, Skills and Social Development and the Status of Persons with Disabilities)"
https://www.ourcommons.ca/PublicationSearch/en/13409736,2024-11-08 09:51:16-04:00,//www.ourcommons.ca/Parliamentarians/en/members/88633,Mr. Champagne,"Minister of Innovation, Science and Industry) ",2024-12-08 09:51:16-04:00,"Summaries of the Corporate Plan for 2024-25 to 2028-29 and Budgets of the Standards Council of Canada, pursuant to the Financial Administration Act, R.S., 1985, c. F-11, sbs. 125(4).  — Sessional Paper No. 8562-441-820-03. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Industry and Technology)"
https://www.ourcommons.ca/PublicationSearch/en/13409682,2024-11-08 09:37:42-04:00,//www.ourcommons.ca/Parliamentarians/en/members/88961,Mr. Blair,Minister of National Defence) ,2024-12-08 09:37:42-04:00,"Service Fees Report of the Department of National Defence for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1217-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on National Defence)"
https://www.ourcommons.ca/PublicationSearch/en/13409371,2024-11-08 08:53:24-04:00,//www.ourcommons.ca/Parliamentarians/en/members/1813,Mr. LeBlanc,"Minister of Public Safety, Democratic Institutions and Intergovernmental Affairs) ",2024-12-08 08:53:24-04:00,"Service Fees Report of the Royal Canadian Mounted Police for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1165-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Public Safety and National Security)"
https://www.ourcommons.ca/PublicationSearch/en/13409323,2024-11-08 08:45:45-04:00,//www.ourcommons.ca/Parliamentarians/en/members/1813,Mr. LeBlanc,"Minister of Public Safety, Democratic Institutions and Intergovernmental Affairs) ",2024-12-08 08:45:45-04:00,"Service Fees Report of the Canada Border Services Agency for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1167-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Public Safety and National Security)"
https://www.ourcommons.ca/PublicationSearch/en/13409212,2024-11-08 08:29:13-04:00,//www.ourcommons.ca/Parliamentarians/en/members/1813,Mr. LeBlanc,"Minister of Public Safety, Democratic Institutions and Intergovernmental Affairs) ",2024-12-08 08:29:13-04:00,"Service Fees Report of the Parole Board of Canada for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1171-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Public Safety and National Security)"
https://www.ourcommons.ca/PublicationSearch/en/13412713,2024-11-08 14:15:56-04:00,//www.ourcommons.ca/Parliamentarians/en/members/84665,Ms. Freeland,Deputy Prime Minister and Minister of Finance) ,2024-12-08 14:15:56-04:00,"Service Fees Report of the Office of the Superintendent of Financial Institutions for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1162-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Finance)"
https://www.ourcommons.ca/PublicationSearch/en/13412587,2024-11-08 14:10:21-04:00,//www.ourcommons.ca/Parliamentarians/en/members/84665,Ms. Freeland,Deputy Prime Minister and Minister of Finance) ,2024-12-08 14:10:21-04:00,"Service Fees Report of the Financial Consumer Agency of Canada for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1163-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Finance)"
https://www.ourcommons.ca/PublicationSearch/en/13412531,2024-11-08 14:03:59-04:00,//www.ourcommons.ca/Parliamentarians/en/members/84665,Ms. Freeland,Deputy Prime Minister and Minister of Finance) ,2024-12-08 14:03:59-04:00,"Service Fees Report of the Office of the Auditor General of Canada for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1161-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Finance)"
https://www.ourcommons.ca/PublicationSearch/en/13411628,2024-11-08 12:15:09-04:00,//www.ourcommons.ca/Parliamentarians/en/members/88384,Ms. Joly,Minister of Foreign Affairs) ,2024-12-08 12:15:09-04:00,"Service Fees Report of the Department of Foreign Affairs, Trade and Development for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1215-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Foreign Affairs and International Development)"
https://www.ourcommons.ca/PublicationSearch/en/13411416,2024-11-08 11:47:36-04:00,//www.ourcommons.ca/Parliamentarians/en/members/89449,Mr. Anandasangaree,Minister of Crown-Indigenous Relations) ,2024-12-08 11:47:36-04:00,"Service Fees Report of the Department of Crown-Indigenous Relations and Northern Affairs for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1198-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Indigenous and Northern Affairs)"
https://www.ourcommons.ca/PublicationSearch/en/13411361,2024-11-08 11:41:06-04:00,//www.ourcommons.ca/Parliamentarians/en/members/88984,Ms. Hajdu,Minister of Indigenous Services) ,2024-12-08 11:41:06-04:00,"Service Fees Report of the Department of Indigenous Services for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1230-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Indigenous and Northern Affairs)"
https://www.ourcommons.ca/PublicationSearch/en/13411210,2024-11-08 11:35:10-04:00,//www.ourcommons.ca/Parliamentarians/en/members/88910,Mr. Virani,Minister of Justice and Attorney General of Canada) ,2024-12-08 11:35:10-04:00,"Service Fees Report of the Department of Justice for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1178-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Justice and Human Rights)"
https://www.ourcommons.ca/PublicationSearch/en/13411103,2024-11-08 11:26:05-04:00,//www.ourcommons.ca/Parliamentarians/en/members/89408,Mr. Duclos,Minister of Public Services and Procurement) ,2024-12-08 11:26:05-04:00,"Service Fees Report of Shared Services Canada for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1220-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Government Operations and Estimates)"
